epoch,step,train_acc,train_loss,val_acc,val_loss
0,389,,,0.8040000200271606,0.6108143925666809
0,389,0.7183234095573425,0.8639997243881226,,
1,779,,,0.8080000281333923,0.5570979118347168
1,779,0.8240725994110107,0.5229130387306213,,
2,1169,,,0.8159999847412109,0.5516102313995361
2,1169,0.8489642143249512,0.44834017753601074,,
3,1559,,,0.8460000157356262,0.48001110553741455
3,1559,0.8758631944656372,0.3672696053981781,,
4,1949,,,0.8659999966621399,0.3932240903377533
4,1949,0.8895134329795837,0.3270646929740906,,
5,2339,,,0.8180000185966492,0.5131905674934387
5,2339,0.9023606777191162,0.28825604915618896,,
6,2729,,,0.8259999752044678,0.5191821455955505
6,2729,0.910149335861206,0.25942808389663696,,
7,3119,,,0.8220000267028809,0.6804781556129456
7,3119,0.9216315746307373,0.2269895225763321,,
8,3509,,,0.8379999995231628,0.565809428691864
8,3509,0.9207483530044556,0.22806717455387115,,
9,3899,,,0.8220000267028809,0.5232000350952148
9,3899,0.927894651889801,0.20914071798324585,,
10,4289,,,0.8399999737739563,0.5358792543411255
10,4289,0.9368074536323547,0.17891351878643036,,
